Price,Property_Type,Building_Age,Tenure,Month,Latitude,Longitude
88000,F,N,L,10,54.9758,-1.6481
56500,T,N,F,4,53.7928,-1.7248
490000,F,N,L,6,51.404,-0.6542
485000,S,N,F,4,52.6081,-1.1031
515000,D,N,F,2,51.6347,-0.5624
435000,D,N,F,11,50.7476,-3.2795
87000,F,N,L,3,50.8174,-3.4809
265000,S,N,F,5,50.8076,-1.0592
300100,T,N,F,9,50.8339,-4.5353
106500,F,N,L,5,51.8759,0.5594
1270000,T,N,F,3,51.4819,-0.2835
347500,F,N,L,8,51.3644,-0.1862
215000,T,N,F,9,52.1177,-0.446
345000,D,N,F,4,50.6806,-2.2334
3250000,O,N,F,12,51.9839,0.1159
355000,S,N,F,2,54.7838,-1.589
315000,D,N,F,6,52.6286,0.7746
250000,T,N,F,10,51.3491,0.7326
1900000,O,N,F,11,51.4612,-2.6114
68000,O,N,F,11,54.6874,-1.5522
179000,S,N,F,9,53.0753,-0.7973
175000,S,N,F,2,51.0749,-4.052
740000,D,N,F,5,51.8602,0.1344
288000,S,N,F,7,50.6245,-3.6025
277000,T,N,F,3,53.3953,-2.2166
52000,F,N,L,3,53.4372,-2.5543
700000,S,N,F,10,51.6419,-0.378
230000,F,N,L,6,53.8448,-1.5799
296000,T,N,F,10,51.6891,-1.2768
505000,F,N,L,5,51.456,-0.2012
923750,S,N,F,5,51.4005,-0.2276
600000,S,N,F,2,51.6292,0.2928
3175000,T,N,F,10,51.4348,-0.1508
52500,F,N,L,1,50.7152,-2.4675
250000,F,N,L,9,51.3112,-0.7286
525000,D,N,F,3,53.9366,-0.7829
270000,T,N,F,4,51.9128,-1.1474
360000,D,N,F,2,51.7841,0.9236
40500,T,N,F,4,54.2085,-3.2624
270000,D,N,F,3,52.6238,-1.2138
620000,F,Y,L,2,51.5118,0.0107
38137000,O,N,F,3,51.5219,-0.1095
235000,S,N,F,5,52.6384,1.3468
220000,D,N,F,4,50.8827,0.5735
365000,D,N,F,2,50.2702,-5.0595
309500,T,N,F,9,52.0642,0.2
599950,F,N,L,6,51.4702,-0.1147
370000,D,N,F,9,52.5665,-1.1749
475000,D,N,F,6,50.795,-0.6531
335000,S,N,F,6,51.6059,0.6691
187000,F,N,L,9,50.8217,-0.1335
134000,T,N,F,4,52.5696,1.1164
1275000,F,N,L,2,51.5214,-0.1775
582500,D,N,F,3,52.0237,-0.5033
642500,D,N,F,3,50.7256,-2.9407
117000,T,N,F,7,53.5308,-2.2155
495000,D,N,F,4,52.4474,-0.1104
410000,S,N,F,5,51.3247,-0.7283
160000,S,N,F,9,53.1326,-1.1809
335000,T,N,F,3,51.3964,-2.3575
345000,D,N,F,12,53.9998,-0.4388
535000,F,N,L,6,51.5616,-0.0614
371500,T,N,F,10,51.4222,0.0102
200000,S,N,F,3,52.5335,-1.3819
1200000,D,N,F,3,51.1817,0.0834
150100,S,N,F,7,53.8783,-3.0048
700000,T,N,F,6,51.4186,-0.1568
500000,F,N,L,6,51.4755,-0.1156
290000,S,N,L,9,52.4055,-1.995
370000,T,N,L,1,51.3964,-2.3575
200000,S,N,F,11,53.413,-1.3287
407000,S,N,F,2,50.5407,-3.5126
80000,T,N,L,2,53.5872,-2.4138
261000,T,N,F,1,51.378,1.3165
362000,S,N,F,6,51.5911,0.5818
955000,S,N,F,5,51.37,-0.4085
350000,D,N,F,2,52.3607,-1.2903
275000,D,N,F,6,53.2639,-2.9335
205000,D,N,L,12,52.4924,-2.1199
269950,D,Y,F,1,52.9102,-1.5565
375000,T,Y,F,2,51.517,0.4191
485000,T,N,F,8,51.4377,-2.5662
1320000,D,N,F,3,51.6213,-0.6493
275000,S,N,F,1,51.4213,-2.5665
290000,S,N,F,6,51.4885,0.3255
750000,D,N,F,9,52.6607,1.659
450000,D,N,F,6,52.379,-0.5408
390000,F,N,L,6,51.5238,-0.2076
145000,T,N,L,12,53.8644,-2.3997
513000,T,N,F,9,51.5412,0.012
555000,D,N,F,3,52.0348,-0.7002
128000,S,N,F,3,53.5601,-0.0593
126995,S,Y,F,6,53.4042,-3.0534
185000,F,N,L,6,51.2489,-0.771
138000,T,N,F,3,53.0745,-2.5197
270000,T,N,F,3,51.0025,-0.9148
242500,T,N,F,8,50.817,-0.6135
760000,S,N,F,1,53.9735,-1.1434
165000,S,N,F,3,52.4549,-2.1732
625000,F,N,L,10,51.4202,-0.1441
396000,S,N,F,6,51.3691,-0.2067
200000,D,N,F,7,54.6267,-1.279
103000,S,N,F,3,53.7272,-2.4699
617000,S,N,F,5,51.5591,-0.2876
400000,O,N,F,5,52.7435,-1.9199
180000,S,N,F,9,53.4801,-2.37
590000,D,N,F,9,51.378,-0.8604
308000,S,N,F,1,51.8868,-2.1174
367000,D,N,F,4,51.8288,-0.6473
595000,D,N,F,11,51.0484,-1.3248
480000,S,N,F,3,51.65,-0.3978
60000,T,N,F,5,53.5182,-1.1282
169000,T,N,F,5,52.7813,-0.1963
575000,T,N,F,9,51.783,-0.0836
580000,F,Y,L,6,51.4666,-0.1797
166000,T,N,F,6,52.4768,-1.7413
273000,S,N,F,9,55.0182,-1.5592
480000,O,N,F,6,53.515,-2.151
127000,F,N,L,7,52.5306,-1.8174
145000,T,N,F,5,53.3765,-2.2713
447500,T,N,L,4,51.3226,-0.1951
229000,S,N,F,6,53.8684,-1.7081
425000,S,N,F,5,51.5709,0.1912
140000,T,N,F,6,50.2066,-5.2863
145000,T,N,F,5,52.4313,-1.5119
161500,T,N,F,8,52.5744,-1.9764
187000,S,N,F,6,53.7988,-1.467
325000,D,N,F,2,53.5946,-1.6163
410000,T,N,F,4,51.1872,0.2898
218000,T,N,F,7,51.9084,-0.476
305000,F,N,L,2,51.3927,0.1156
350000,O,N,F,10,51.5348,-2.5885
170000,S,N,F,2,51.9332,1.2753
330000,S,N,F,4,51.6124,0.5139
75000,T,N,F,4,53.0618,-2.2095
900000,D,N,F,3,51.2455,0.0053
845000,T,N,F,1,51.4248,-0.1167
1725000,S,N,F,2,51.5614,-0.0761
920000,D,N,F,4,51.0175,-0.0968
350000,T,N,F,3,51.392,-2.1401
361500,D,N,F,11,50.6139,-3.4993
506500,T,N,F,5,52.1963,0.1441
230000,D,N,F,12,52.9898,-1.1814
256000,T,N,F,3,50.7405,-2.0336
71000,T,N,F,2,54.7177,-1.686
199995,T,Y,F,6,54.8608,-1.3725
450000,F,N,L,3,51.6229,-0.1778
202000,D,N,F,6,53.7906,-2.2929
195000,S,N,F,6,50.6308,-4.3699
1100000,D,N,L,11,53.3038,-2.2272
345000,S,N,F,8,53.0519,-2.5668
230000,D,N,F,2,52.752,0.3854
405000,F,N,L,6,51.3768,0.021
120000,T,N,F,3,53.3569,-2.9045
76000,F,N,L,2,55.0067,-1.5432
245000,F,Y,L,2,51.4502,-0.9671
225199,T,N,F,11,52.6729,-0.7174
325000,T,N,F,4,51.4276,-0.8888
355000,D,N,F,2,50.6715,-2.5603
335000,S,N,F,9,51.6294,-0.7313
370000,D,N,F,7,52.7425,1.251
270500,D,N,F,10,52.3692,-0.6735
390000,F,N,L,4,51.3819,-0.327
160000,S,N,F,4,53.7626,-1.3888
445000,D,N,F,4,51.3193,-2.415
260000,S,N,F,2,53.0379,-1.4046
70000,T,N,F,6,53.7638,-2.3688
320000,T,N,F,4,51.5503,0.137
390000,F,N,L,9,51.4573,-0.2056
527500,D,N,F,9,51.5614,0.0944
192000,S,N,F,6,53.3719,0.0168
135000,O,N,F,12,51.933,-2.3957
185000,S,N,F,7,53.3843,-3.026
225000,D,N,F,2,52.5603,-2.0723
